Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Argentina,Argentinian
Armenia,Armenian
Australia,Australian
Austria,Austrian
Azerbaijan,Azerbaijani
"Bahamas, The",Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian
Botswana,Botswanan
Brazil,Brazilian
United Kingdom,British
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinese
Myanmar,Burmese
Burundi,Burundian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cape Verde Islands,Cape Verdean
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
"Congo, Dem. Rep.",Congolese
Costa Rica,Costa Rican
Croatia,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Danish
Djibouti,Djiboutian
Dominican Republic,Dominican
Ecuador,Ecuadorean
"Egypt, Arab Rep.",Egyptian
El Salvador,Salvadorean
United Kingdom,English
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finnish
France,French
Gabon,Gabonese
"Gambia, The",Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenadian
Guatemala,Guatemalan
Guinea,Guinean
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelandic
India,Indian
Indonesia,Indonesian
"Iran, Islamic Rep.",Iranian
Iraq,Iraqi
Ireland,Irish
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakh
Kenya,Kenyan
Kuwait,Kuwaiti
Lao PDR,Laotian
Latvia,Latvian
Lebanon,Lebanese
Liberia,Liberian
Libya,Libyan
Lithuania,Lithuanian
"Macedonia, FYR",Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivian
Mali,Malian
Malta,Maltese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican
Moldova,Moldovan
Monaco,Monegasque
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Namibia,Namibian
Nepal,Nepalese
Netherlands,Dutch
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
"Korea, Dem. Rep.",North Korean
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Philippine
Poland,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Russian Federation,Russian
Rwanda,Rwandan
Saudi Arabia,Saudi Arabian
United Kingdom,Scottish
Senegal,Senegalese
Serbia,Serbian
"Seychelles, the",Seychellois
Sierra Leone,Sierra Leonian
Singapore,Singaporean
Slovak Republic,Slovak
Slovenia,Slovenian
Somalia,Somali
South Africa,South African
"Korea, Rep.",South Korean
Spain,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamese
Swaziland,Swazi
Sweden,Swedish
Switzerland,Swiss
Syrian Arab Republic,Syrian
Taiwan,Taiwanese
Tajikistan,Tajik
Tanzania,Tanzanian
Thailand,Thai
Togo,Togolese
Tunisia,Tunisian
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United States of America,American
Uruguay,Uruguayan
Uzbekistan,Uzbek
Vanuatu,Vanuatuan
"Venezuela, RB",Venezuelan
Vietnam,Vietnamese
United Kingdom,Welsh
Western Samoa,Western Samoan
"Yemen, Rep.",Yemeni
Yugoslavia,Yugoslav
"Congo, Dem. Rep.",Zairean
Zambia,Zambian
Zimbabwe,Zimbabwean
